tasks, time 
1,52000
2,27243
3,19066
4,15006
5,12426
6,10889
7,9660
8,8824
9,8069
10,7647
11,7202
12,6784
13,6524
14,6251
15,6027
16,5868
17,5727
18,5460
19,5448
20,5302
21,5171
22,5074
23,4942
24,4928
25,4807
26,4712
27,4767
28,4691
29,4690
30,4617
31,4625
32,4595
33,4565
34,4500
35,4488
36,4455
37,4373
38,4291
39,4252
40,4264
41,4302
42,4355
43,4347
44,4326
45,4315
46,4259
47,4256
48,4366
49,4368
50,4405
51,4372
52,4374
53,4340
54,4327
55,4251
56,4257
57,4302
58,4267
59,4339
60,4348
61,4355
62,4359
63,4369
64,4287
65,4285
66,4261
67,4262
68,4290
69,4314
70,4315
71,4316
72,4370
73,4371
74,4406
75,4403
76,4408
77,4385
78,4390
79,4535
80,4511
81,4547
82,4614
83,4572
84,4616
85,4617
86,4575
87,4553
88,4626
89,4555
90,4546
91,4544
92,4558
93,4625
94,4626
95,4627
96,4562
97,4660
98,4661
99,4701
100,4702
