tasks, time 
1,101000
2,51612
3,35019
4,26925
5,21932
6,18535
7,16323
8,14452
9,13052
10,12137
11,11059
12,10374
13,9883
14,9404
15,8919
16,8434
17,8066
18,7725
19,7740
20,7306
21,7129
22,6849
23,6667
24,6361
25,6265
26,6193
27,6197
28,6061
29,5720
30,5590
31,5586
32,5354
33,5379
34,5279
35,5224
36,5165
37,5099
38,5083
39,5085
40,5065
41,4935
42,4911
43,4861
44,4824
45,4827
46,4743
47,4728
48,4688
49,4581
50,4536
51,4397
52,4477
53,4487
54,4487
55,4491
56,4434
57,4437
58,4440
59,4491
60,4498
61,4438
62,4409
63,4352
64,4365
65,4344
66,4339
67,4269
68,4302
69,4264
70,4207
71,4137
72,4192
73,4197
74,4279
75,4354
76,4377
77,4355
78,4357
79,4227
80,4227
81,4188
82,4177
83,4078
84,4082
85,4116
86,4068
87,4136
88,4225
89,4240
90,4229
91,4355
92,4287
93,4335
94,4319
95,4290
96,4341
97,4370
98,4362
99,4363
100,4395
