tasks, time 
the,3903
and,2931
I,2842
of,2636
to,2079
my,1632
a,1338
in,1079
was,1018
that,1002
me,864
had,684
with,658
which,558
but,547
not,505
his,500
you,497
as,480
he,472
for,471
it,447
by,444
on,442
from,373
have,358
her,357
be,350
this,325
were,307
is,302
at,290
The,285
when,273
your,239
him,221
an,208
so,205
will,192
been,190
could,190
all,188
one,182
would,182
she,181
their,174
or,171
are,170
they,167
who,163
more,162
if,155
should,152
now,148
no,148
My,141
But,138
before,138
some,137
myself,135
He,132
these,131
man,128
them,127
into,124
am,124
upon,124
only,122
its,120
our,118
we,117
yet,115
did,115
father,113
life,111
than,110
first,108
might,108
own,107
eyes,104
then,104
every,104
said,102
shall,99
It,99
time,97
what,95
being,95
do,94
saw,94
towards,93
may,93
can,91
those,88
found,87
most,87
Elizabeth,86
mind,85
any,84
night,83
even,81
whom,80
again,79
felt,79
day,78
heart,76
This,76
ever,76
feelings,76
death,75
You,75
where,75
other,74
very,74
thought,74
She,72
such,72
made,70
up,70
friend,69
passed,67
dear,66
also,66
many,66
still,64
miserable,63
there,63
never,63
same,63
must,63
heard,62
has,62
how,61
after,61
few,61
became,61
us,60
soon,60
love,59
while,59
like,59
place,59
We,57
appeared,57
human,57
little,56
over,56
Clerval,56
When,55
Justine,54
misery,54
indeed,54
friends,54
country,53
until,52
words,52
although,51
cottage,51
often,50
away,50
feel,50
whose,50
hope,50
Felix,50
old,50
see,50
among,49
happiness,49
days,49
during,49
thus,48
return,48
nature,48
In,48
know,48
despair,47
about,47
long,46
As,46
voice,46
A,46
cannot,46
world,45
happy,45
sun,45
great,45
horror,44
scene,44
alone,44
through,44
several,43
men,43
years,43
another,43
came,42
much,42
creature,42
joy,41
well,40
light,40
ice,40
affection,40
out,39
new,39
months,39
power,39
part,39
far,39
And,39
hands,38
They,38
fear,38
thoughts,38
poor,38
If,38
entered,38
countenance,38
moment,37
himself,37
house,37
sometimes,37
Yet,37
mountains,37
near,37
almost,37
therefore,37
earth,36
What,36
journey,36
Geneva,36
pleasure,36
possessed,36
soul,36
seemed,36
took,36
morning,35
make,35
hours,35
left,35
down,34
around,34
spirit,34
gentle,34
How,33
His,33
rest,33
discovered,33
two,33
kind,33
knowledge,33
child,33
idea,33
become,33
continued,33
cause,33
taken,33
work,33
come,32
believe,32
already,32
tale,32
whole,32
gave,32
knew,32
remained,32
last,31
strange,31
existence,31
lost,31
family,31
resolved,31
spirits,31
beheld,31
monster,31
good,31
within,31
returned,31
mother,31
manner,31
room,31
nor,31
sensations,31
sea,31
appearance,30
cold,30
peace,30
too,30
however,30
companion,30
nothing,30
present,30
delight,30
looked,29
without,29
loved,29
young,29
arrived,29
nearly,29
lay,28
girl,28
fiend,28
read,28
endeavoured,28
desire,28
here,28
science,28
change,28
brought,28
tears,28
native,28
yourself,28
placed,28
grief,28
fellow,28
began,28
beauty,27
form,27
think,27
thousand,27
air,27
length,27
feeling,27
wind,27
hardly,27
replied,27
each,27
beautiful,27
once,27
kindness,27
At,27
greatest,27
murderer,26
town,26
fire,26
food,26
quickly,26
agony,26
dark,26
creatures,26
rather,26
Victor,26
ground,26
others,26
called,26
Oh,26
hand,26
perceived,26
lake,26
wood,26
lovely,26
expressed,26
various,26
mine,26
died,25
sat,25
since,25
desired,25
seek,25
greater,25
Henry,25
head,25
Safie,25
spent,25
sister,25
rage,25
For,25
sight,25
William,25
hour,24
turned,24
under,24
fixed,24
Frankenstein,24
spoke,24
die,24
occupied,24
degree,24
live,24
letter,24
beloved,24
Chapter,24
cousin,24
state,24
No,24
always,24
free,23
filled,23
body,23
door,23
Sometimes,23
concerning,23
wretched,23
lived,23
means,23
imagination,23
suddenly,23
find,23
endured,23
say,23
M,23
longer,23
home,23
hopes,23
anguish,23
wretch,23
natural,23
destroyed,23
wish,23
dead,22
enemy,22
quitted,22
revenge,22
attention,22
sweet,22
followed,22
Agatha,22
evil,22
beings,22
